MONTH,WEEK,HUMIDITY,MOSQUITO,SPECIES,MOSQUITO1,MOSQUITO2,MOSQUITO3,MOSQUITO4,MAX TEMP,AVG TEMP,MIN TEMP,DEW POINT,PRECIPITATION,RAINY DAYS ,WIND,AGE CATEGORY,MALE,FEMALE,LOCATION
January,1,78.9,Pv,imported,TRUE,FALSE,FALSE,FALSE,84.19,77.32,70.94,69.86,41.7,3,5.49,3,3,2,Chengalpattu
January,2,78.9,Pv,indigenious,FALSE,TRUE,FALSE,FALSE,84.19,77.32,70.94,69.86,41.7,3,5.49,3,2,0,Tambaram
January,3,78.9,Pf,indigenious,FALSE,FALSE,FALSE,TRUE,84.19,77.32,70.94,69.86,41.7,3,5.49,3,0,0,Villupuram
January,4,78.9,Pf,imported,FALSE,FALSE,TRUE,FALSE,84.19,77.32,70.94,69.86,41.7,3,5.49,5,3,3,Nagercoil
February,1,76.3,Pv,imported,TRUE,FALSE,FALSE,FALSE,86.82,79.36,71.86,70.66,0,0,5.72,5,1,0,Krishnagiri
February,2,76.3,Pv,indigenious,FALSE,TRUE,FALSE,FALSE,86.82,79.36,71.86,70.66,0,0,5.72,5,1,1,Erode
February,3,76.3,Pf,indigenious,FALSE,FALSE,FALSE,TRUE,86.82,79.36,71.86,70.66,0,0,5.72,3,2,0,Tirupur
February,4,76.3,Pv,indigenious,FALSE,TRUE,FALSE,FALSE,86.82,79.36,71.86,70.66,0,0,5.72,3,1,0,Hosur
March,1,73.9,Pv,indigenious,FALSE,TRUE,FALSE,FALSE,93.26,84.19,75.87,74.09,1.3,0,7.06,3,0,0,Salem
March,2,73.9,Pf,imported,FALSE,FALSE,TRUE,FALSE,93.26,84.19,75.87,74.09,1.3,0,7.06,5,0,0,Cuddalore
March,3,73.9,Pf,indigenious,FALSE,FALSE,FALSE,TRUE,93.26,84.19,75.87,74.09,1.3,0,7.06,5,2,1,Tuticorin
March,4,73.9,Pf,imported,FALSE,FALSE,TRUE,FALSE,93.26,84.19,75.87,74.09,1.3,0,7.06,5,0,0,Karur
April,1,73,Pv,indigenious,FALSE,TRUE,FALSE,FALSE,95.36,88.28,79.64,78.24,1.1,0,9.71,1,0,0,Dindigul
April,2,73,Pf,imported,FALSE,FALSE,TRUE,FALSE,95.36,88.28,79.64,78.24,1.1,0,9.71,4,2,1,Tiruvannamalai
